index,recipient,donor,slot,implementation,runtime_status,offer_eligible,adapter,exclusion_reason,evidence
0,captain_falcon,captain_falcon,nair,implemented,runtime-tested,False,common-aerial,Identical donor: keep the native slot,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":true,""native_jab"":false,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""81533ece59d729a3aef5495e6185c60b616e27b3"",""evidence"":""docs/evidence/aerials/current/aerials-debug-stress-0-130.json"",""log_sha256"":""49529f3c79e4d63320368cef9d60b49620a7ac6fd09d26c7e7aec9afcdfd6dca""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":true,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""36c24894da8b0649624bd1277c126c7533e46b54"",""evidence"":""docs/evidence/aerials/current/aerials-release-stress-0-130.json"",""log_sha256"":""fbc9a3bcc32b3f6ab77bd81ee710a8f2fa5e8c5773149e6da91736b32a1de458""}]"
1,captain_falcon,captain_falcon,fair,implemented,runtime-tested,False,common-aerial,Identical donor: keep the native slot,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
2,captain_falcon,captain_falcon,bair,implemented,runtime-tested,False,common-aerial,Identical donor: keep the native slot,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
3,captain_falcon,captain_falcon,uair,implemented,runtime-tested,False,common-aerial,Identical donor: keep the native slot,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
4,captain_falcon,captain_falcon,dair,implemented,runtime-tested,False,common-aerial,Identical donor: keep the native slot,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
5,captain_falcon,donkey_kong,nair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
6,captain_falcon,donkey_kong,fair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
7,captain_falcon,donkey_kong,bair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
8,captain_falcon,donkey_kong,uair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
9,captain_falcon,donkey_kong,dair,implemented,runtime-tested,True,common-aerial,,"[{""status"":""runtime-tested"",""profile"":""debug"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""604630d94d7befcd31693eb1a266f4cb5827e5fb"",""evidence"":""docs/evidence/aerials/current/aerials-debug-current-0-130.json"",""log_sha256"":""597f02082e720fadd72b8e1874c731b11b7274f5b7cf4cc22185e848c0777424""},{""status"":""runtime-tested"",""profile"":""release"",""lifecycle"":true,""stress"":false,""native_jab"":true,""adapter_assertion"":false,""backend"":""profile-default"",""dol_sha1"":""701391db058943f42300ca97846a0f2156b4a084"",""evidence"":""docs/evidence/aerials/current/aerials-release-extended-0-130.json"",""log_sha256"":""da69f533920989144323b3e2836413d7abcfcfdd2f45b1f4361bdb30f6d54ba5""}]"
